Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/xsw/spark-work/kubernetes-client/platforms/karaf/itests/target/exam/5de20d6d-d430-4db9-858f-02479199e838/lock
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2019-12-31T14:10:15,766 | INFO  | features-3-thread-1 | CommandExtension                 | 32 - org.apache.karaf.shell.core - 4.2.2 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.2
2019-12-31T14:10:15,770 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.lang/1.5.0
2019-12-31T14:10:15,776 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.monitors/1.5.0
2019-12-31T14:10:15,792 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.io/1.5.0
2019-12-31T14:10:15,793 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.swissbox.lifecycle/1.8.2
2019-12-31T14:10:15,794 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.swissbox.tracker/1.8.2
2019-12-31T14:10:15,795 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.tipi.hamcrest.core/1.3.0.1
2019-12-31T14:10:15,795 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.tipi.junit/4.12.0.1
2019-12-31T14:10:15,796 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.store/1.5.0
2019-12-31T14:10:15,800 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.util.property/1.5.0
2019-12-31T14:10:15,800 | INFO  | activator-1-thread-1 | CommandExtension                 | 32 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.shell.ssh/4.2.2
2019-12-31T14:10:15,801 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.exam/4.13.1
2019-12-31T14:10:15,801 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.exam.invoker.junit/4.13.1
2019-12-31T14:10:15,807 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   com.fasterxml.jackson.core.jackson-annotations/2.9.8
2019-12-31T14:10:15,808 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.servicemix.bundles.automaton/1.11.0.8_1
2019-12-31T14:10:15,809 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.servicemix.bundles.generex/1.0.1.1
2019-12-31T14:10:15,809 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   com.fasterxml.jackson.core.jackson-core/2.9.8
2019-12-31T14:10:15,810 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   com.fasterxml.jackson.core.jackson-databind/2.9.8
2019-12-31T14:10:15,810 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.yaml.snakeyaml/1.23.0
2019-12-31T14:10:15,810 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   com.fasterxml.jackson.dataformat.jackson-dataformat-yaml/2.9.8
2019-12-31T14:10:15,811 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   javax.validation.api/1.1.0.Final
2019-12-31T14:10:15,811 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   io.fabric8.kubernetes-model/4.1.2
2019-12-31T14:10:15,812 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   io.fabric8.zjsonpatch/0.3.0
2019-12-31T14:10:15,818 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.jsr-305/3.0.2
2019-12-31T14:10:15,819 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.servicemix.bundles.okio/1.15.0.1
2019-12-31T14:10:15,828 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.servicemix.bundles.conscrypt-openjdk/1.4.2.1
2019-12-31T14:10:15,829 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.servicemix.bundles.okhttp/3.12.0.1
2019-12-31T14:10:15,829 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   io.fabric8.openshift-client/4.1.2
2019-12-31T14:10:16,538 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   io.fabric8.kubernetes-client/4.1.2
2019-12-31T14:10:16,734 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.net/1.5.0
2019-12-31T14:10:16,735 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.swissbox.core/1.8.2
2019-12-31T14:10:16,739 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.swissbox.extender/1.8.2
2019-12-31T14:10:16,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.exam.extender.service/4.13.1
2019-12-31T14:10:16,755 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.exam.rbc/4.13.1
2019-12-31T14:10:16,767 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.base.spi/1.5.0
2019-12-31T14:10:16,768 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.ops4j.pax.swissbox.framework/1.8.2
2019-12-31T14:10:16,776 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.geronimo.specs.geronimo-atinject_1.0_spec/1.0.0
