GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,SecretProjectionFluentImpl.ItemsNestedImpl,43,0,0,0,10,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,VolumeBuilder,555,265,29,1,113,41,23,5,8,5
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,NamedAuthInfo,191,0,30,0,18,0,27,0,12,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,ServiceBuilder,162,129,29,1,31,31,20,8,5,8
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,EndpointsListFluentImpl,727,0,112,0,73,0,97,0,41,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,WatchEventFluentImpl.CertificateSigningRequestObjectNestedImpl,35,0,0,0,8,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,WatchEventFluentImpl.OpenshiftClusterRoleScopeRestrictionObjectNestedImpl,35,0,0,0,8,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,Config,507,0,78,0,46,0,63,0,24,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,DoneableNodeConfigSource.new Function() {...},8,0,0,0,2,0,2,0,2,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,NodeSpec,385,0,62,0,35,0,51,0,20,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,WatchEventFluentImpl.OpenshiftClusterRoleBindingListObjectNestedImpl,35,0,0,0,8,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,WatchEventFluentImpl.HostPortRangeObjectNestedImpl,35,0,0,0,8,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,WatchEventFluentImpl.GCEPersistentDiskVolumeSourceObjectNestedImpl,35,0,0,0,8,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,StatusDetailsFluentImpl.CausesNestedImpl,43,0,0,0,10,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,DownwardAPIProjectionBuilder,199,0,30,0,46,0,28,0,13,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,WatchEventFluentImpl.DeploymentTriggerPolicyObjectNestedImpl,35,0,0,0,8,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,DoneableHostAlias,51,0,0,0,7,0,4,0,4,0
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,LabelSelectorBuilder,144,78,29,1,29,21,22,6,7,6
Fabric8 :: Kubernetes Model,io.fabric8.kubernetes.api.model,WatchEventFluentImpl.RollingUpdateDeploymentObjectNestedImpl,35,0,0,0,8,0,4,0,4,0
